review_id,product_id,reviewer_id,stars,text,review_title,language,product_category,real_sentiment,negative_sentiment_pred_proba,neutral_sentiment_pred_proba,positive_sentiment_pred_proba,predicted_sentiment
en_0600082,product_en_0284250,reviewer_en_0888298,5,"The Marino Avenue brand Men’s low cut socks are of good quality. I put them through one cycle of hot water washing and drying and they stood up to the challenge. What I like best is the color choices on the socks. The green, yellow, red, and black one is my favorite combo.",The Color Combos are What Sold Me.,en,apparel,positive,0.0033509766217321,0.0174211338162422,0.9792279601097108,positive
en_0600662,product_en_0506925,reviewer_en_0719877,5,Super cute matching aprons! The color and design make it great for both mommy and daughter or mommy and son. I got them for my daughter in law and grandson to wear while baking together. He is only 1 year old but loves to hang out in the kitchen and play with the whisks and bowls. The apron will be big on him now though he is tall for his age. It appears to be the right size for a 2-3 year old.,Super cute!,en,home,positive,0.0030142355244606,0.013893935829401,0.9830918908119202,positive
en_0320791,product_en_0184757,reviewer_en_0275337,3,"It's an ok bin. I got it to use as a clothes hamper thinking it was more of a linen material, probably my mistake for not reading the description better but it's actually more like a plastic. Decided it would be better suited for my daughter's stuff animals. It's cute and serves a purpose and isn't all that expensive. Just not what I thought it would be when originally purchasing it.",An OK bin,en,home,neutral,0.0626372396945953,0.6471273899078369,0.2902354300022125,neutral
en_0948990,product_en_0594555,reviewer_en_0419566,2,"The proportions of the pants did not fit my body. The pants were snug in the legs (as desired), but it was way too big in the waist. I am 5'3, 120 lbs and I ordered an xs. I fear the xxs would be too tight in the legs. I am returning this item.",Too big in the Waist,en,apparel,negative,0.9574604630470276,0.037896454334259,0.0046430109068751,negative
en_0922193,product_en_0212748,reviewer_en_0120205,1,I like it is solid and also easy to apply on my baby. Also the ingredients are organic and natural. However after I start using them. I realized it have something hard plastic SHARP in the middle of the stick!! I almost make a big scratch on my baby's face! The design of this stick is TERRIBLE!,Please aware of the hard plastic stick in the middle of the sunscreen,en,beauty,negative,0.5042604207992554,0.4064226448535919,0.0893169119954109,negative
en_0875483,product_en_0142934,reviewer_en_0351840,2,"This is the 2nd time I have ordered these bottles. My first one came packaged in a sealed box, no damage whatsoever. This order came and although the outside Amazon box was in perfect condition, the box of rollerballs inside was smashed, torn up, and not sealed. The caps are all scratched up. I was making up some rollerballs for gifts for my family, and hate the thought of gifting these! Hoping this is a fluke, and they’ll make it right quickly!","Packaging damaged, bottles look awful!",en,beauty,negative,0.9583345651626588,0.0349698662757873,0.0066956719383597,negative
en_0711002,product_en_0296343,reviewer_en_0384417,5,Awesome product. Have used on my hands several times since I received the product. My cuticles have softened and my hands are no longer dry.,Quality and Price,en,beauty,positive,0.0033344791736453,0.0098764533177018,0.986789047718048,positive
en_0792507,product_en_0353211,reviewer_en_0467512,4,". Fit my 2018 Accord pretty good the back part of the seat isnt fully covered completely but most is, Came a bit wrinkled but not to bad, material is actually good quality",2018 Honda Accord,en,automotive,positive,0.0057146959006786,0.0523345619440078,0.9419507384300232,positive
en_0109771,product_en_0269847,reviewer_en_0039388,3,"Terrific fabric and fit through belly, hips and thighs, but apparently these should be worn with 3"" heels, which is ridiculous for exercise/loungewear. (Yes I'm being sarcastic.) Seriously: these were at least 4"" too long to be comfortable (let alone safe to walk in). Back they go, and I won't try again.",Better wear heels!,en,sports,neutral,0.7410903573036194,0.2430805712938308,0.0158290937542915,negative
en_0554819,product_en_0767406,reviewer_en_0922254,1,Brought this as an Christmas gift for my son. Assembly was pretty easy I liked how sturdy the materials were. However it stopped working the first day he played with it. Was very disappointed because the cars on the track would stop moving and it was times when they would get off track. I would not recommend this product at all.,Disappointed,en,toy,negative,0.9620764255523682,0.0339450426399707,0.0039785811677575,negative
en_0662230,product_en_0524129,reviewer_en_0442762,5,It's a great product over all. It had no issues sticking. Had the the first one for a few months on my vehicle and looks just fine. Both times I ordered they came on time.,Looks good,en,automotive,positive,0.0041653029620647,0.0133263440802693,0.9825083613395692,positive
en_0158995,product_en_0203659,reviewer_en_0393070,5,"Perfect, came with everything needed. God quality and fit perfectly. Much less then original brand.",Just what I wanted,en,automotive,positive,0.0034459722228348,0.0095097357407212,0.9870442748069764,positive
en_0141649,product_en_0362575,reviewer_en_0406422,5,Great price and very easy install,As described,en,lawn_and_garden,positive,0.00361143425107,0.0113085517659783,0.9850799441337584,positive
en_0302325,product_en_0495695,reviewer_en_0896882,1,I never bought this product so why the hell isn't showing up in my order history,I never bought this product so why the hell isn't showing up in my order history,en,drugstore,negative,0.9735243320465088,0.0209895763546228,0.0054860785603523,negative
en_0666271,product_en_0172553,reviewer_en_0285428,3,They crack so easy once you put food on them ... they look way better then they perform ... not worth the $s just for looks,LOOK NICE,en,kitchen,neutral,0.766560971736908,0.2163893580436706,0.0170496348291635,negative
en_0592213,product_en_0665265,reviewer_en_0025903,1,I won’t order this you will be wasting your time money and energy,Junk,en,drugstore,negative,0.9714529514312744,0.023391954600811,0.0051551517099142,negative
en_0672282,product_en_0859436,reviewer_en_0144720,2,Did not crimp the tube tubes,does not do the job,en,drugstore,negative,0.6266821622848511,0.3207451999187469,0.0525725446641445,negative
en_0921127,product_en_0675914,reviewer_en_0151595,3,before i bought it showed i'd get it by December 18th and after i bought it then i checked the tracking 2 days later it shows it'll be here by January 18th which sucks cause this is part of a Christmas gift,i wouldn't buy from here again they lie about how soon you'll get it until you buy & they ship it,en,sports,neutral,0.882469892501831,0.1027814745903015,0.0147485854104161,negative
en_0478884,product_en_0082360,reviewer_en_0390232,4,Containers hold up well and generous in size. Best thing is that it is much lighter than pots and takes up minimal storage space.,Great alternative to big pots,en,wireless,positive,0.0051814201287925,0.0385442711412906,0.9562742710113524,positive
en_0911393,product_en_0549488,reviewer_en_0221190,4,"Works well for a motorcycle helmet lock, just a little short",Good,en,automotive,positive,0.0108430599793791,0.0849306136369705,0.904226303100586,positive
en_0480680,product_en_0605771,reviewer_en_0662808,3,Corners broke from coming in and out of pocket within the first week,Three Stars,en,wireless,neutral,0.8530067801475525,0.1327425241470337,0.0142505997791886,negative
en_0197233,product_en_0648419,reviewer_en_0340273,2,Is good to protect your phone but It limits what your phone can do like the in display-fingerprint scanner does not work properly after installation and face Id takes longer to unlock your phone I even try to reset the fingerprints but did not work like it used to,Fingerprint scanner does not work,en,wireless,negative,0.3891781270503998,0.5571027994155884,0.0537190474569797,neutral
en_0069858,product_en_0096099,reviewer_en_0946242,4,Great for a quick press! Love that it heats up fast! I totally recommend this! It works!,Great for a quick press on the go!,en,home,positive,0.0031303020659834,0.0098424023017287,0.98702734708786,positive
en_0480858,product_en_0287573,reviewer_en_0200875,3,Nice size Used on vacation Kept my clothes organized and clean,Great buy!,en,home,neutral,0.0050558075308799,0.0289503540843725,0.9659938216209412,positive
en_0806786,product_en_0241149,reviewer_en_0254547,5,Got it quickly. Not sure if easy to swallow. I got them for someone,Good,en,drugstore,positive,0.1038935333490371,0.4933192133903503,0.4027872383594513,neutral
en_0796106,product_en_0559348,reviewer_en_0279642,2,The stickers are too small and the quality is not good.,Sticker Too Small,en,automotive,negative,0.8773829340934753,0.1127751171588897,0.0098420204594731,negative
en_0904317,product_en_0844916,reviewer_en_0713931,1,As pictured and actual product is fine but they made me sign for it. I originally missed the delivery person and had to run down the road to get them or else I would have had to drive to the center for pick up. Why would you send make up you need to sign for without fair warning?,Shipping,en,beauty,negative,0.4922480583190918,0.4201829731464386,0.0875690281391143,negative
en_0287900,product_en_0997958,reviewer_en_0226768,3,After a few days the bulbs turn to all red... colors not as advertised.,Misleading Colors,en,home,neutral,0.8177925944328308,0.1690357625484466,0.0131716951727867,negative
en_0230922,product_en_0581004,reviewer_en_0370330,4,"I like knowing it will not leave nasty glue all over my windows when I stop using the film when I finally get around to picking window treatments. I did have small air bubbles pop up around the edges when the temp went below freezing outside which is the reason for 4 stars instead of 5. Not very noticeable, worth it for the film being easier to install and remove than the type with glue!",Glue-free installation is easy,en,home,positive,0.0129178753122687,0.080862283706665,0.9062198400497437,positive
en_0276364,product_en_0619345,reviewer_en_0605156,4,Could have a bigger pocket for my package but they fit well,Four Stars,en,apparel,positive,0.0261797290295362,0.1858326941728592,0.7879875302314758,positive
en_0365791,product_en_0369883,reviewer_en_0582389,1,"THE PRODUCT IS NOT CORRECT TO DESCRIPTION Ordered this item recieved incorrect five button remote that is a completely different one than the item listed. Sent for a return thinking it was a warehouse mistake, recieved the exact same incorrect keyfobs. DO NOT RECCOMMEND if looking for the item in the picture. At this point im just going to order from the dealer. *note: it will work when paired to unlock and lock but other functions as remote start and panic button will not function at all*",THE PRODUCT IS NOT CORRECT TO DESCRIPTION,en,automotive,negative,0.9731685519218444,0.021981593221426,0.0048497878015041,negative
en_0354579,product_en_0853872,reviewer_en_0127798,1,We've had nothing but problems with it doesn't function and the screen is constantly having problems will not stay on troubleshoot is it and still the screen will not come on,Loose connections,en,wireless,negative,0.8818670511245728,0.1091761663556099,0.008956809528172,negative
en_0789828,product_en_0386820,reviewer_en_0385537,4,So overall I like this flag. The colors are bright and the material feels good for the price. Not cheap but I definitely wouldn't keep this outside in bad weather. The one bad this about this is my flag smelled awful when it came out of the package. I bought another flag with this one and they both have this weird chemical smell. It's give me a headache and they haven't even been up 30 minutes. I sprayed them down with odor neutralizer and it helped for a few minutes. Definitely try to air out your flags before you put them in a room or anything,Chemical smell,en,lawn_and_garden,positive,0.2074742019176483,0.6991243362426758,0.0934015437960624,neutral
